DATE,CLOSE,VOLUME
2016.02.05,23.50,1568754800000
2016.02.08,23.76,1851591200000
2016.02.09,23.76,1537134560000
2016.02.10,23.57,1477876080000
2016.02.11,23.42,1686135160000
2016.02.12,23.50,1349605200000
2016.02.16,24.16,1628545040000
2016.02.17,24.53,1504548480000
2016.02.18,24.07,1203783040000
2016.02.19,24.01,1043590120000
2016.02.22,24.22,1183108200000
2016.02.23,23.67,1025849040000
2016.02.24,24.03,1224896560000
2016.02.25,24.19,910716360000
2016.02.26,24.23,990981080000
2016.02.29,24.17,995295080000
2016.03.01,25.13,1766451080000
2016.03.02,25.18,1124054680000
2016.03.03,25.38,1213312160000
2016.03.04,25.75,1590849560000
2016.03.07,25.47,1220872160000
2016.03.08,25.26,1059629080000
2016.03.09,25.28,893655840000
2016.03.10,25.29,1141655080000
2016.03.11,25.56,874663640000
2016.03.14,25.64,628960320000
2016.03.15,26.13,897664680000
2016.03.16,26.31,1063707920000
2016.03.17,26.45,820704120000
2016.03.18,26.41,772081000000
2016.03.21,26.49,987725200000
2016.03.22,26.66,730432040000
2016.03.23,26.54,676143560000
2016.03.24,26.41,634229480000
2016.03.28,26.30,619577600000
2016.03.29,26.92,1032660000000
2016.03.30,27.40,1536336160000
2016.03.31,27.24,781056560000
2016.04.01,27.49,806359160000
2016.04.04,27.78,1257787280000
2016.04.05,27.45,888214280000
2016.04.06,27.74,879435240000
2016.04.07,27.14,1015635560000
2016.04.08,27.17,780850000000
2016.04.11,27.26,936886680000
2016.04.12,27.61,940458640000
2016.04.13,28.01,1126187600000
2016.04.14,28.03,852747600000
2016.04.15,27.45,1430909480000
2016.04.18,26.85,1666714480000
2016.04.19,26.74,1074191840000
2016.04.20,26.78,955945080000
2016.04.21,26.49,1081222640000
2016.04.22,26.42,1084850160000
2016.04.25,26.27,939568920000
2016.04.26,26.08,1372521200000
2016.04.27,24.45,3759205760000
2016.04.28,23.71,2917650680000
2016.04.29,23.44,2303140440000
2016.05.02,23.41,1686505560000
2016.05.03,23.80,1970106800000
2016.05.04,23.55,1325352240000
2016.05.05,23.31,1199315000000
2016.05.06,23.18,1538677320000
2016.05.09,23.20,1072977320000
2016.05.10,23.35,1179643320000
2016.05.11,23.13,952905280000
2016.05.12,22.59,2732541360000
2016.05.13,22.63,1522008800000
2016.05.16,23.47,2015797800000
2016.05.17,23.37,1524238720000
2016.05.18,23.64,1438967320000
2016.05.19,23.55,966225680000
2016.05.20,23.81,987319080000
2016.05.23,24.11,1220340520000
2016.05.24,24.48,1141453400000
2016.05.25,24.90,1249794320000
2016.05.26,25.11,1333748120000
2016.05.27,25.09,1161211560000
2016.05.31,24.97,1242757960000
2016.06.01,24.61,1002791480000
2016.06.02,24.43,1364296200000
2016.06.03,24.48,900951280000
2016.06.06,24.66,797040880000
2016.06.07,24.76,737826360000
2016.06.08,24.74,665719760000
2016.06.09,24.92,903000600000
2016.06.10,24.71,1002205000000
2016.06.13,24.34,1286181600000
2016.06.14,24.37,1093212760000
2016.06.15,24.29,944316960000
2016.06.16,24.39,1076171600000
2016.06.17,23.83,1427932640000
2016.06.20,23.78,1168661800000
2016.06.21,23.98,1196366040000
2016.06.22,23.89,973083320000
2016.06.23,24.03,1053032200000
2016.06.24,23.34,1907045680000
2016.06.27,23.01,1496319480000
2016.06.28,23.40,1311560400000
2016.06.29,23.60,1194725520000
2016.06.30,23.90,1090750840000
2016.07.01,23.98,853484280000
2016.07.05,23.76,835472960000
2016.07.06,23.88,1082560640000
2016.07.07,23.99,808257160000
2016.07.08,24.17,943802240000
2016.07.11,24.25,776199520000
2016.07.12,24.36,797666520000
2016.07.13,24.22,800078800000
2016.07.14,24.70,1350438160000
2016.07.15,24.69,910327440000
2016.07.18,24.96,1256434840000
2016.07.19,24.97,775857280000
2016.07.20,24.98,876962920000
2016.07.21,24.86,1055977520000
2016.07.22,24.67,931292720000
2016.07.25,24.33,1332072840000
2016.07.26,24.17,1461750880000
2016.07.27,25.74,2904047960000
2016.07.28,26.08,1258338680000
2016.07.29,26.05,856073600000
2016.08.01,26.52,1298712080000
2016.08.02,26.12,1135227880000
2016.08.03,26.45,962619840000
2016.08.04,26.47,867161320000
2016.08.05,26.87,1134219520000
2016.08.08,27.09,866797360000
2016.08.09,27.21,871891600000
2016.08.10,27.00,828536560000
2016.08.11,26.98,750321680000
2016.08.12,27.04,617525080000
2016.08.15,27.38,846787880000
2016.08.16,27.35,1050867240000
2016.08.17,27.30,841535560000
2016.08.18,27.27,669490960000
2016.08.19,27.34,806190560000
2016.08.22,27.13,865190520000
2016.08.23,27.21,642613320000
2016.08.24,27.01,767938000000
2016.08.25,26.90,851016720000
2016.08.26,26.74,939439760000
2016.08.29,26.71,800098560000
2016.08.30,26.50,806801520000
2016.08.31,26.53,833674040000
2016.09.01,26.68,804488920000
2016.09.02,26.93,847799480000
2016.09.06,26.93,742392520000
2016.09.07,27.10,1496090040000
2016.09.08,26.38,1805763080000
2016.09.09,25.79,1510281840000
2016.09.12,26.36,1486618760000
2016.09.13,27.01,2111145680000
2016.09.14,27.94,4060780800000
2016.09.15,28.89,3143444920000
2016.09.16,28.73,2064220440000
2016.09.19,28.38,1629125600000
2016.09.20,28.39,1178128120000
2016.09.21,28.38,1170680200000
2016.09.22,28.65,1050209320000
2016.09.23,28.18,1860259080000
2016.09.26,28.22,958981040000
2016.09.27,28.28,781733640000
2016.09.28,28.49,1015451400000
2016.09.29,28.05,1272022960000
2016.09.30,28.26,1097828760000
2016.10.03,28.13,706908320000
2016.10.04,28.26,1048802840000
2016.10.05,28.26,705801320000
2016.10.06,28.48,974563960000
2016.10.07,28.51,815256400000
2016.10.10,29.01,1211130040000
2016.10.11,29.09,2127586400000
2016.10.12,29.34,1326411160000
2016.10.13,29.25,1249848440000
2016.10.14,29.41,1142649600000
2016.10.17,29.39,771100320000
2016.10.18,29.36,753735200000
2016.10.19,29.28,674539600000
2016.10.20,29.25,832364840000
2016.10.21,29.13,696490600000
2016.10.24,29.40,521513640000
2016.10.25,29.57,1021607920000
2016.10.26,28.90,1497714560000
2016.10.27,28.63,579322480000
2016.10.28,28.43,794361080000
2016.10.31,28.40,391615240000
2016.11.01,27.86,779825800000
2016.11.02,27.89,431348960000
2016.11.03,27.41,493564840000
2016.11.04,27.24,429124200000
2016.11.07,27.61,676612920000
2016.11.08,27.76,539674160000
2016.11.09,27.72,1166396920000
2016.11.10,26.93,1246553000000
2016.11.11,27.11,757396000000
2016.11.14,26.43,1254086760000
2016.11.15,26.78,707164680000
2016.11.16,27.51,911495760000
2016.11.17,27.49,606486560000
2016.11.18,27.52,538861680000
2016.11.21,27.94,620075080000
2016.11.22,27.94,485634000000
2016.11.23,27.81,525603840000
2016.11.25,27.95,263094040000
2016.11.28,27.90,504142480000
2016.11.29,27.87,668084400000
2016.11.30,27.63,623728480000
2016.12.01,27.37,770577320000
2016.12.02,27.47,508638840000
2016.12.05,27.28,632980160000
2016.12.06,27.49,559672680000
2016.12.07,27.75,613265200000
2016.12.08,28.03,566432320000
2016.12.09,28.49,779939920000
2016.12.12,28.33,560798440000
2016.12.13,28.80,882988120000
2016.12.14,28.80,676986240000
2016.12.15,28.96,642878680000
2016.12.16,28.99,543206240000
2016.12.19,29.16,544562680000
2016.12.20,29.24,398782960000
2016.12.21,29.26,419367000000
2016.12.22,29.07,547167000000
2016.12.23,29.13,339802080000
2016.12.27,29.31,415861840000
2016.12.28,29.19,449988200000
2016.12.29,29.18,333768000000
2016.12.30,28.97,594254760000
2017.01.03,29.04,584217840000
2017.01.04,29.00,411191760000
2017.01.05,29.16,486120920000
2017.01.06,29.48,700741920000
2017.01.09,29.75,748670160000
2017.01.10,29.78,497041840000
2017.01.11,29.94,603649160000
2017.01.12,29.81,567468000000
2017.01.13,29.76,522852520000
2017.01.17,30.00,752977680000
2017.01.18,30.00,510111680000
